127.0.0.1 - - [10/Jul/2025:10:54:37 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jul/2025:10:54:38 +0900] "GET /BookRec_Final/main.jsp HTTP/1.1" 200 39333
0:0:0:0:0:0:0:1 - - [10/Jul/2025:10:54:38 +0900] "GET /BookRec_Final/img/b1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2025:10:54:38 +0900] "GET /BookRec_Final/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2025:10:54:38 +0900] "GET /BookRec_Final/img/up1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2025:10:54:38 +0900] "GET /BookRec_Final/img/9791160408331.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2025:10:54:38 +0900] "GET /BookRec_Final/img/9791158791971.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2025:10:54:38 +0900] "GET /BookRec_Final/img/love.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2025:10:54:38 +0900] "GET /BookRec_Final/img/9791193190364.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2025:10:54:38 +0900] "GET /BookRec_Final/img/9791158792183.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2025:10:54:41 +0900] "GET /BookRec_Final/celebList.jsp HTTP/1.1" 200 22287
0:0:0:0:0:0:0:1 - - [10/Jul/2025:10:54:41 +0900] "GET /BookRec_Final/img/celeb/parkchanwook_thum.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2025:10:54:41 +0900] "GET /BookRec_Final/img/celeb/iu_thum.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2025:10:54:41 +0900] "GET /BookRec_Final/img/celeb/faker_thum.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2025:10:54:41 +0900] "GET /BookRec_Final/img/celeb/munsanghoon_thum.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2025:10:54:41 +0900] "GET /BookRec_Final/img/celeb/parkjungmin_thum.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2025:10:54:41 +0900] "GET /BookRec_Final/css/celebList.css HTTP/1.1" 200 5253
0:0:0:0:0:0:0:1 - - [10/Jul/2025:10:54:41 +0900] "GET /BookRec_Final/img/celeb/rm_thum.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2025:10:54:41 +0900] "GET /BookRec_Final/img/celeb/hankang_thum.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2025:10:54:41 +0900] "GET /BookRec_Final/img/celeb/hongkyung_thum.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2025:10:54:43 +0900] "GET /BookRec_Final/celebDetail8.jsp HTTP/1.1" 200 15602
0:0:0:0:0:0:0:1 - - [10/Jul/2025:10:54:43 +0900] "GET /BookRec_Final/css/celebDetail.css HTTP/1.1" 304 -
